code,name
0019K0,TIME 미국나스닥100채권혼합50액티브      EF 000000000
002020,코오롱                                  ST2
002025,코오롱우                                ST00
002030,아세아                                  ST2
002070,비비안                                  ST3
0020H0,KoAct 글로벌양자컴퓨팅액티브            EF 00000000
002100,경농                                    ST
002140,고려산업                                ST30
002150,도화엔지니어링                          ST30026
002170,삼양통상                                ST30
0021C0,ACE 장기자산배분액티브                  EF 000000
0021D0,ACE TDF2030액티브                       EF
0021E0,ACE TDF2050액티브                       EF
002200,한국수출포장                            ST3002
002210,동성제약                                ST30
002220,한일철강                                ST30
002240,고려제강                                ST30
0022T0,SOL 국제금커버드콜액티브                EF 0000000
002310,아세아제지                              ST300
002320,한진                                    ST
002350,넥센타이어                              ST200
002355,넥센타이어1우B                          ST0002
002360,SH에너지화학                            ST300
002380,KCC
002390,한독                                    ST
0023A0,SOL 미국양자컴퓨팅TOP10                 EF 0000
0023B0,PLUS 미국양자컴퓨팅TOP10                EF 0000
002410,범양건영                                ST30
002420,세기상사                                ST30
002450,삼익악기                                ST30
002460,HS화성                                  ST
0025N0,TIGER TDF2045
002600,조흥                                    ST
002620,제일파마홀딩스                          ST30026
002630,오리엔트바이오                          ST30027
002690,동일제강                                ST30
0026E0,KODEX 미국S&P500버퍼3월액티브           EF 00000
0026S0,1Q 미국S&P500                           EF
002700,신일전자                                ST30
002710,TCC스틸                                 ST
002720,국제약품                                ST30
002760,보락                                    ST
002780,진흥기업                                ST30
002785,진흥기업우B                             ST000
002787,진흥기업2우B                            ST000
002790,아모레퍼시픽홀딩스                      ST2002700
002795,아모레퍼시픽홀딩스우                    ST00027000
00279K,아모레퍼시픽홀딩스3우C                  ST00027000
002810,삼영무역                                ST30
002820,SUN&L
002840,미원상사                                ST20
002870,신풍                                    ST
002880,대유에이텍                              ST300
0028X0,KODEX 미국금융테크액티브                EF 000000
002900,TYM
002920,유성기업                                ST30
002960,한국쉘석유                              ST200
002990,금호건설                                ST30
002995,금호건설우                              ST000
003000,부광약품                                ST30
003010,혜인                                    ST
003030,세아제강지주                            ST2002
003060,에이프로젠바이오로직스                  ST300270009
003070,코오롱글로벌                            ST3001
003075,코오롱글로벌우                          ST00018
003080,SB성보                                  ST
003090,대웅                                    ST
0030R0,대신밸류리츠                            RT0002
003120,일성아이에스                            ST3002
003160,디아이                                  ST3
003200,일신방직                                ST30
003220,대원제약                                ST30
003230,삼양식품                                ST10
003240,태광산업                                ST20
003280,흥아해운                                ST30
003300,한일홀딩스                              ST200
003350,한국화장품제조                          ST30027
003460,유화증권                                ST30
003465,유화증권우                              ST000
003470,유안타증권                              ST200
003475,유안타증권우                            ST0002
003480,한진중공업홀딩스                        ST300170
003490,대한항공                                ST10
003495,대한항공우                              ST000
003520,영진약품                                ST30
003530,한화투자증권                            ST2002
003535,한화투자증권우                          ST00021
003540,대신증권                                ST20
003545,대신증권우                              ST000
003547,대신증권2우B                            ST000
003550,LG
003555,LG우                                    S
003570,SNT다이내믹스                           ST200
003580,HLB글로벌                               ST3
0035T0,PLUS 글로벌휴머노이드로봇액티브         EF 0000000000
003610,방림                                    ST
003620,KG모빌리티                              ST20
003650,미창석유                                ST30
003670,포스코퓨처엠                            ST1002
003680,한성기업                                ST30
003690,코리안리                                ST20
0036D0,TIME 미국배당다우존스액티브             EF 00000000
0036R0,RISE 미국휴머노이드로봇                 EF 000000
0036Z0,RISE 미국천연가스밸류체인               EF 0000000
003720,삼영                                    ST
003780,진양산업                                ST30
003830,대한화섬                                ST30
003850,보령                                    ST
0038A0,KODEX 미국휴머노이드로봇                EF 000000
003920,남양유업                                ST30
003925,남양유업우                              ST000
003960,사조대림                                ST30
004000,롯데정밀화학                            ST2002
004020,현대제철                                ST10
004060,SG세계물산                              ST30
004080,신흥                                    ST
004090,한국석유                                ST30
0040S0,HANARO 글로벌피지컬AI액티브             EF 000000
0040X0,SOL 팔란티어미국채커버드콜혼합          EF 0000000000
0040Y0,SOL 팔란티어커버드콜OTM채권혼합         EF 000000000
004100,태양금속                                ST30
004105,태양금속우                              ST000
004140,동방                                    ST
004150,한솔홀딩스                              ST300
004170,신세계                                  ST2
0041D0,KODEX 미국AI소프트웨어TOP10             EF 0000
0041E0,KODEX 미국S&P500액티브                  EF 00
004250,NPC
004255,NPC우                                   S
004270,남성                                    ST
004310,현대약품                                ST30
004360,세방                                    ST
004365,세방우                                  ST0
004370,농심                                    ST
004380,삼익THK                                 ST
0043B0,TIGER 머니마켓액티브                    EF 0000
0043Y0,TIME 차이나AI테크액티브                 EF 00000
004410,서울식품                                ST30
004415,서울식품우                              ST000
004430,송원산업                                ST30
004440,삼일씨엔에스                            ST3002
004450,삼화왕관                                ST30
004490,세방전지                                ST20
004540,깨끗한나라                              ST300
004545,깨끗한나라우                            ST0002
004560,현대비앤지스틸                          ST30027
004690,삼천리                                  ST2
0046A0,TIGER 미국초단기(3개월이하)국채         EF 00000000
0046Y0,ACE 미국배당퀄리티                      EF 0000
004700,조광피혁                                ST30
004710,한솔테크닉스                            ST3002
004720,팜젠사이언스                            ST3002
004770,써니전자                                ST30
0047A0,TIGER 차이나테크TOP10                   EF 00
0047N0,PLUS 차이나AI테크TOP10                  EF 00
0047P0,RISE 테슬라고정테크100                  EF 0000
0047R0,RISE 팔란티어고정테크100                EF 00000
004800,효성                                    ST
004830,덕성                                    ST
004835,덕성우                                  ST0
004840,DRB동일                                 ST
004870,티웨이홀딩스                            ST3002
004890,동일산업                                ST30
0048J0,KODEX 미국머니마켓액티브                EF 000000
0048K0,KODEX 차이나휴머노이드로봇              EF 0000000
004910,조광페인트                              ST300
004920,씨아이테크                              ST300
004960,한신공영                                ST30
004970,신라교역                                ST30
004980,성신양회                                ST30
004985,성신양회우                              ST000
004990,롯데지주                                ST20
00499K,롯데지주우                              ST000
0049K0,ACE 미국배당퀄리티채권혼합50            EF 00000000
0049M0,ACE 미국배당퀄리티+커버드콜액티브       EF 00000000000
005010,휴스틸                                  ST3
005030,부산주공                                ST30
005070,코스모신소재                            ST2002
005090,SGC에너지                               ST3
0050E0,PLUS 미국AI에이전트                     EF 000
005110,한창                                    ST
005180,빙그레                                  ST2
0051A0,KoAct 브로드컴밸류체인액티브            EF 00000000
0051G0,SOL 미국원자력SMR                       EF 00
005250,녹십자홀딩스                            ST2002
005257,녹십자홀딩스2우                         ST00026
0052D0,TIGER 코리아배당다우존스                EF 000000
0052S0,1Q 미국S&P500미국채혼합50액티브         EF 0000000
0052T0,1Q 중단기회사채(A-이상)액티브           EF 00000000
005300,롯데칠성                                ST20
005305,롯데칠성우                              ST000
005320,온타이드                                ST30
005360,모나미                                  ST3
005380,현대차                                  ST1
005385,현대차우                                ST00
005387,현대차2우B                              ST00
005389,현대차3우B                              ST00
0053L0,TIGER 차이나휴머노이드로봇              EF 0000000
0053M0,더제이 중소형포커스액티브               EF 000000000
005420,코스모화학                              ST200
005430,한국공항                                ST30
005440,현대지에프홀딩스                        ST200210
005490,POSCO홀딩스                             ST1
005500,삼진제약                                ST30
005610,SPC삼립                                 ST
005680,삼영전자                                ST30
005690,파미셀                                  ST2
005720,넥센                                    ST
005725,넥센우                                  ST0
005740,크라운해태홀딩스                        ST300210
005745,크라운해태홀딩스우                      ST0002100
005750,대림바스                                ST30
0057H0,PLUS 미국S&P500미국채혼합50액티브       EF 0000000
005800,신영와코루                              ST300
005810,풍산홀딩스                              ST200
005820,원림                                    ST
005830,DB손해보험                              ST10
005850,에스엘                                  ST2
005870,휴니드                                  ST3
005880,대한해운                                ST20
005930,삼성전자                                ST10
005935,삼성전자우                              ST000
005940,NH투자증권                              ST10
005945,NH투자증권우                            ST000
005950,이수화학                                ST30
005960,동부건설                                ST30
005965,동부건설우                              ST000
006040,동원산업                                ST20
006060,화승인더                                ST30
006090,사조오양                                ST30
0060H0,TIGER 토탈월드스탁액티브                EF 000000
006110,삼아알미늄                              ST300
006120,SK디스커버리                            ST200
006125,SK디스커버리우                          ST0002
0061Z0,RISE 단기특수은행채액티브               EF 0000000
006200,한국전자홀딩스                          ST30021
006220,제주은행                                ST30
006260,LS
006280,녹십자                                  ST2
006340,대원전선                                ST30
006345,대원전선우                              ST000
006360,GS건설                                  ST
006370,대구백화점                              ST300
006380,카프로                                  ST2
006400,삼성SDI                                 ST
006405,삼성SDI우                               ST0
006490,인스코비                                ST30
0064K0,KODEX 금액티브                          EF 0
006570,대림통상                                ST30
0065G0,KODEX 차이나테크TOP10                   EF 00
006650,대한유화                                ST20
006660,삼성공조                                ST30
0066W0,SOL 국제금                              EF
006740,블루산업개발                            ST3002
0067V0,TIGER 차이나글로벌리더스TOP3+           EF 000000
0067Y0,TIGER 차이나AI소프트웨어                EF 00000
006800,미래에셋증권                            ST1002
006805,미래에셋증권우                          ST00021
00680K,미래에셋증권2우B                        ST00021
006840,AK홀딩스                                ST3
006880,신송홀딩스                              ST300
006890,태경케미컬                              ST300
0068M0,KODEX 미국S&P500버퍼6월액티브           EF 00000
006980,우성                                    ST
0069M0,1Q 미국나스닥100                        EF 00
007070,GS리테일                                ST2
007110,일신석재                                ST30
007120,미래아이앤지                            ST3002
007160,사조산업                                ST30
007210,벽산                                    ST
007280,한국특강                                ST30
0072R0,TIGER KRX금현물                         EF
007310,오뚜기                                  ST2
007340,DN오토모티브                            ST200
0073X0,FOCUS 알리바바미국채커버드콜혼합        EF 0000000000
007460,에이프로젠                              ST300
0074K0,KoAct K수출핵심기업TOP30액티브          EF 000000
007540,샘표                                    ST
007570,일양약품                                ST30
007575,일양약품우                              ST000
007590,동방아그로                              ST300
007610,선도전기                                ST30
007660,이수페타시스                            ST1002
007690,국도화학                                ST30
007700,F&F홀딩스                               ST2
007810,코리아써키트                            ST3002
007815,코리아써우                              ST000
00781K,코리아써키트2우B                        ST00027
007860,서연                                    ST
0078V0,PLUS 미국로보택시                       EF 000
007980,TP
0079X0,ACE BYD밸류체인액티브                   EF 0000
008040,사조동아원                              ST300
008060,대덕                                    ST
00806K,대덕1우                                 ST0
0080G0,KODEX K방산TOP10                        EF
0080X0,SOL 미국S&P500미국채혼합50              EF 0000
0080Y0,SOL 조선TOP3플러스레버리지              EF 000000
008110,대동전자                                ST30
008250,이건산업                                ST30
008260,NI스틸                                  ST
0082F0,HANARO 유럽방산                         EF 0
0082V0,KODEX TDF2060액티브                     EF
008350,남선알미늄                              ST300
008355,남선알미우                              ST000
0083S0,1Q 미국메디컬AI                         EF 00
008420,문배철강                                ST30
008490,서흥                                    ST
0084D0,KIWOOM 미국테크100월간목표헤지액티브    EF 0000000000
0084E0,KIWOOM 미국대형주500월간목표헤지액티브  EF 00000000000
008500,일정실업                                ST30
0085N0,ACE 미국10년국채액티브(H)               EF 00000
0085P0,ACE 미국10년국채액티브                  EF 00000
008600,윌비스                                  ST3
0086B0,TIGER 리츠부동산인프라TOP10액티브       EF 00000000
0086C0,TIGER 리츠부동산인프라10채권혼합액티브  EF 000000000000
008700,아남전자                                ST30
008730,율촌화학                                ST20
008770,호텔신라                                ST20
008775,호텔신라우                              ST000
0087F0,ACE 차이나AI빅테크TOP2+액티브           EF 000000
008870,금비                                    ST
0088N0,WON K-글로벌수급상위                    EF 0000
008930,한미사이언스                            ST2002
008970,KBI동양철관                             ST30
0089B0,PLUS 미국나스닥100미국채혼합50          EF 0000000
0089C0,KODEX 미국S&P500변동성확대시커버드콜    EF 000000000
0089D0,KODEX 금융고배당TOP10                   EF 00
009070,KCTC
0090B0,PLUS K방산소부장                        EF 00
009140,경인전자                                ST30
009150,삼성전기                                ST10
009155,삼성전기우                              ST000
009160,SIMPAC
009180,한솔로지스틱스                          ST30019
009190,대양금속                                ST30
0091C0,KODEX 미국10년국채액티브(H)             EF 00000
0091M0,HANARO 27-06 회사채(AA-이상)액티브      EF 00000
0091P0,TIGER 코리아원자력                      EF 000
009200,무림페이퍼                              ST300
009240,한샘                                    ST
009270,신원                                    ST
009290,광동제약                                ST30
0092B0,SOL 한국원자력SMR                       EF 00
0092C0,SOL 27-12 회사채(AA-이상)액티브         EF 00000
009310,참엔지니어링                            ST3002
009320,아진전자부품                            ST3002
0093A0,RISE AI반도체TOP10                      EF
0093B0,RISE 엔비디아고정테크100                EF 00000
0093D0,KoAct 팔란티어밸류체인액티브            EF 00000000
009410,태영건설                                ST20
009415,태영건설우                              ST000
009420,한올바이오파마                          ST20027
009440,KC그린홀딩스                            ST300
009450,경동나비엔                              ST200
009460,한창제지                                ST30
009470,삼화전기                                ST30
0094K0,TIGER 28-04 회사채(A+이상)액티브        EF 00000
0094L0,RISE 차이나테크TOP10위클리타겟커버드콜  EF 00000000000
0094M0,RISE 코리아밸류업위클리고정커버드콜     EF 000000000000
0094X0,1Q 샤오미밸류체인액티브                 EF 0000000
009540,HD한국조선해양                          ST1002
009580,무림P&P                                 ST
009680,모토닉                                  ST3
009770,삼정펄프                                ST30
0097L0,KIWOOM 한국고배당&미국AI테크            EF 000000
009810,플레이그램                              ST300
009830,한화솔루션                              ST100
009835,한화솔루션우                            ST0002
0098F0,KODEX K원자력SMR                        EF
0098N0,PLUS 자사주매입고배당주                 EF 000000
0098Z0,FOCUS 200
009900,명신산업                                ST30
009970,영원무역홀딩스                          ST20021
0099L0,ACE 우량회사채(AA-이상)액티브           EF 0000000
010040,한국내화                                ST30
010060,OCI홀딩스                               ST2
0100K0,KODEX K방산TOP10레버리지                EF 000
010100,한국무브넥스                            ST3002
010120,LS ELECTRIC
010130,고려아연                                ST10
010140,삼성중공업                              ST100
0101N0,RISE AI전력인프라                       EF 00
0102A0,TIGER 미국AI소프트웨어TOP4Plus          EF 0000
0102X0,ACE 유럽방산TOP10                       EF 0
0103T0,1Q K소버린AI                            EF
010400,우진아이엔에스                          ST30018
0104G0,PLUS K방산레버리지                      EF 000
0104H0,KoAct 미국나스닥채권혼합50액티브        EF 000000000
0104N0,TIGER 200타겟위클리커버드콜             EF 000000
0104P0,TIGER 코리아배당다우존스위클리커버드콜  EF 000000000000N
010580,에스엠벡셀                              ST300
0105D0,SOL 한국AI소프트웨어                    EF 0000
0105E0,SOL 코리아고배당                        EF 000
010640,진양폴리                                ST30
010660,화천기계                                ST30
010690,화신                                    ST
0106J0,대신 KOSPI200인덱스 X클래스             PF 00000
010770,평화홀딩스                              ST300
010780,아이에스동서                            ST2002
0107F0,KIWOOM 미국고배당&AI테크                EF 0000
010820,퍼스텍                                  ST3
010950,S-Oil
010955,S-Oil우                                 S
010960,삼호개발                                ST30
011000,진원생명과학                            ST3002
011070,LG이노텍                                ST2
011090,에넥스                                  ST3
011150,CJ씨푸드                                ST3
011155,CJ씨푸드1우                             ST00
011170,롯데케미칼                              ST200
0111J0,HANARO 증권고배당TOP3플러스             EF 00000
0111P0,1Q 미국나스닥100미국채혼합50액티브      EF 0000000000
011200,HMM
011210,현대위아                                ST20
011230,삼화전자                                ST30
011280,태림포장                                ST30
0112X0,마이티 200TR                            EF
011300,성안머티리얼스                          ST30027
011330,유니켐                                  ST3
011390,부산산업                                ST30
0113D0,TIME 글로벌탑픽액티브                   EF 00000
0113G0,KoAct 미국바이오헬스케어액티브          EF 000000000
0113P0,HK 머니마켓액티브                       EF 0000
011420,갤럭시아에스엠                          ST30030
0114X0,RISE 글로벌게임테크TOP3Plus             EF 0000
011500,한농화성                                ST30
0115C0,RISE 미국고배당다우존스TOP10            EF 000000
0115D0,KODEX K조선TOP10                        EF
0115E0,KODEX 코리아소버린AI                    EF 000
011690,와이투솔루션                            ST3002
011700,한신기계                                ST30
011760,현대코퍼레이션                          ST30016
011780,금호석유화학                            ST2002
011785,금호석유화학우                          ST00027
011790,SKC
0117L0,KODEX 26-12 금융채(AA-이상)액티브       EF 00000
0117V0,TIGER 코리아AI전력기기TOP3플러스        EF 0000000
011810,STX
0118S0,SOL 미국넥스트테크TOP10액티브           EF 0000000
0118Z0,ACE 미국AI테크핵심산업액티브            EF 00000000
011930,신성이엔지                              ST300
0119H0,KODEX 28-12 회사채(AA-이상)액티브       EF 00000
012030,DB
0120G0,삼양바이오팜                            ST0002
0120J0,BNK 카카오그룹포커스                    EF 00000
0120X0,유진 챔피언중단기크레딧 X클래스         PF 00000000000
012160,영흥                                    ST
012170,아센디오                                ST30
012200,계양전기                                ST30
012205,계양전기우                              ST000
012280,영화금속                                ST30
0122W0,RISE 26-11 회사채(AA-이상)액티브        EF 00000
012320,경동인베스트                            ST3002
012330,현대모비스                              ST100
0123G0,TIGER 미국AI전력SMR                     EF 0
0123S0,HANARO 26-12 은행채(AA+이상)액티브      EF 00000
012450,한화에어로스페이스                      ST1002700
012510,더존비즈온                              ST200
012610,경인양행                                ST30
012630,HDC
012690,모나리자                                ST30
0126Z0,삼성에피스홀딩스                        ST000210
012750,에스원                                  ST2
0127M0,ACE 미국대형가치주액티브                EF 0000000
0127P0,ACE 미국대형성장주액티브                EF 0000000
0127R0,RISE 미국AI클라우드인프라               EF 000000
0127T0,KIWOOM 미국S&P500&배당다우존스비중전환  EF 000000000
0127V0,KIWOOM 미국S&P500 TOP10&배당다우비중전환EF 0000000
012800,대창                                    ST
0128D0,PLUS 차이나항셍테크위클리타겟커버드콜   EF 000000000000N
013000,세우글로벌                              ST300
0131A0,SOL 차이나소비트렌드                    EF 00000
0131V0,1Q 미국우주항공테크                     EF 00000
0131W0,1Q 단기특수은행채액티브                 EF 0000000
0132D0,KoAct 글로벌K컬처밸류체인액티브         EF 000000000
0132H0,KODEX 미국원자력SMR                     EF 00
0132K0,PLUS 테슬라위클리커버드콜채권혼합       EF 00000000000
013360,일성건설                                ST30
0133E0,TIGER 차이나증권                        EF 00
013520,화승코퍼레이션                          ST30027
013570,디와이                                  ST3
013580,계룡건설                                ST30
0135Y0,ITF 중기종합채권(AA-이상)액티브         EF 00000000
013700,까뮤이앤씨                              ST300
0137V0,KIWOOM 미국S&P500모멘텀                 EF 00
0137W0,KIWOOM 미국S&P500&GOLD                  EF
013870,지엠비코리아                            ST3002
013890,지누스                                  ST3
0138D0,RISE 동학개미                           EF 0
0138T0,RISE 미국S&P500데일리고정커버드콜       EF 00000000
0138Y0,PLUS 금채권혼합                         EF 00
0139F0,TIGER 12월자동연장금융채(AA-이상)액티브 EF 0000000000
0139P0,ACE 고배당주                            EF 0
014130,한익스프레스                            ST3001
014160,대영포장                                ST30
0141S0,SOL 조선기자재                          EF 00
0141T0,SOL 중기종합채권(AA-이상)액티브         EF 00000000
014280,금강공업                                ST30
014285,금강공업우                              ST000
0142D0,TIGER 미국AI데이터센터TOP4Plus          EF 0000
014440,영보화학                                ST30
0144L0,KODEX 미국성장커버드콜액티브            EF 00000000
0144M0,KODEX 미국드론UAM TOP10                 EF 0
014530,극동유화                                ST30
014580,태경비케이                              ST300
014680,한솔케미칼                              ST200
014710,사조씨푸드                              ST300
014790,HL D&I
014820,동원시스템즈                            ST2002
014825,동원시스템즈우                          ST00027
014830,유니드                                  ST2
0148J0,TIGER 코리아휴머노이드로봇산업          EF 000000000
014910,성문전자                                ST30
014915,성문전자우                              ST000
014990,인디에프                                ST30
015020,이스타코                                ST30
0150K0,KoAct 수소전력ESS인프라액티브           EF 0000000
0151P0,RISE 코리아전략산업액티브               EF 0000000
0151S0,KODEX 미국AI반도체TOP3플러스            EF 00000
015230,대창단조                                ST30
015260,에이엔피                                ST30
0152E0,SOL 배당성향탑픽액티브                  EF 000000
015360,INVENI
0153K0,KODEX 주주환원고배당주                  EF 00000
0153P0,ACE 리츠부동산인프라액티브              EF 00000000
0153X0,PLUS 미국고배당주액티브                 EF 000000
0154F0,WON 초대형IB&금융지주                   EF 0000
0154H0,KoAct 차이나바이오헬스케어액티브        EF 0000000000
015590,DKME
0155M0,ACE 미국SMR원자력TOP10                  EF 00
015760,한국전력                                ST10
015860,일진홀딩스                              ST300
015890,태경산업                                ST30
016090,대현                                    ST
016360,삼성증권                                ST10
016380,KG스틸                                  ST
016450,한세예스24홀딩스                        ST30027
016580,환인제약                                ST30
016590,신대양제지                              ST300
016610,DB증권                                  ST
016710,대성홀딩스                              ST300
016740,두올                                    ST
016800,퍼시스                                  ST3
016880,웅진                                    ST
017040,광명전기                                ST30
017180,명문제약                                ST30
017370,우신시스템                              ST300
017390,서울가스                                ST30
017550,수산세보틱스                            ST3002
017670,SK텔레콤                                ST1
017800,현대엘리베이터                          ST20027
017810,풀무원                                  ST3
017860,DS단석                                  ST
017900,광전자                                  ST3
017940,E1
017960,한국카본                                ST20
018250,애경산업                                ST30
018260,삼성에스디에스                          ST10029
018470,조일알미늄                              ST300
018500,동원금속                                ST30
018670,SK가스                                  ST
018880,한온시스템                              ST200
019170,신풍제약                                ST20
019175,신풍제약우                              ST000
019180,티에이치엔                              ST300
019490,엑시큐어하이트론                        ST300270
019680,대교                                    ST
019685,대교우B                                 ST0
020000,한섬                                    ST
020120,키다리스튜디오                          ST30029
020150,롯데에너지머티리얼즈                    ST20027001
020560,아시아나항공                            ST2001
020760,일진디스플                              ST300
021050,서원                                    ST
021240,코웨이                                  ST1
021820,세원정공                                ST30
022100,포스코DX                                ST2
023000,삼원강재                                ST30
023150,MH에탄올                                ST3
023350,한국종합기술                            ST3002
023450,동남합성                                ST30
023530,롯데쇼핑                                ST20
023590,다우기술                                ST20
023800,인지컨트롤스                            ST3002
